15
  0.00000000	  -0.00000000	   -0.00000000
  0.09616066	  -1.17187500	  -28.27447203
  0.14941888	  -3.12500000	  -48.70000067
  0.19971830	  -7.14285714	  -110.48218074
  0.24853833	 -12.50000000	  -69.82223020
  0.29735836	 -11.94196429	   57.30543556
  0.39943660	  -7.42187500	   11.54251156
  0.50003545	  -8.53794643	   -5.20131157
  0.55033487	  -8.09151786	   18.67771968
  0.75301196	  -5.18973214	   -6.92498633
  0.80331138	  -5.63616071	   -6.05625700
  0.89947205	  -6.08258929	  -32.72222382
  0.95420965	  -6.25000000	   72.90403858
  1.00302968	  -1.56250000	   85.14160481
  1.02670000	  -0.05580357	   43.38930653
